,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
0,Brasil,,,76,,,,2020-02-25,9,210147125.0,0.0,0,0,0,0.0,0.0,
1,Brasil,,,76,,,,2020-02-26,9,210147125.0,1.0,1,0,0,1.0,0.0,
2,Brasil,,,76,,,,2020-02-27,9,210147125.0,1.0,0,0,0,1.0,0.0,
3,Brasil,,,76,,,,2020-02-28,9,210147125.0,1.0,0,0,0,0.0,1.0,
4,Brasil,,,76,,,,2020-02-29,9,210147125.0,2.0,1,0,0,1.0,1.0,
5,Brasil,,,76,,,,2020-03-01,10,210147125.0,2.0,0,0,0,1.0,1.0,
6,Brasil,,,76,,,,2020-03-02,10,210147125.0,2.0,0,0,0,0.0,2.0,
7,Brasil,,,76,,,,2020-03-03,10,210147125.0,2.0,0,0,0,0.0,2.0,
8,Brasil,,,76,,,,2020-03-04,10,210147125.0,3.0,1,0,0,1.0,2.0,
9,Brasil,,,76,,,,2020-03-05,10,210147125.0,7.0,4,0,0,4.0,3.0,
10,Brasil,,,76,,,,2020-03-06,10,210147125.0,13.0,6,0,0,6.0,7.0,
11,Brasil,,,76,,,,2020-03-07,10,210147125.0,19.0,6,0,0,7.0,12.0,
12,Brasil,,,76,,,,2020-03-08,11,210147125.0,25.0,6,0,0,6.0,19.0,
13,Brasil,,,76,,,,2020-03-09,11,210147125.0,25.0,0,0,0,1.0,24.0,
14,Brasil,,,76,,,,2020-03-10,11,210147125.0,34.0,9,0,0,6.0,28.0,
15,Brasil,,,76,,,,2020-03-11,11,210147125.0,52.0,18,0,0,16.0,36.0,
16,Brasil,,,76,,,,2020-03-12,11,210147125.0,77.0,25,0,0,23.0,54.0,
17,Brasil,,,76,,,,2020-03-13,11,210147125.0,98.0,21,0,0,24.0,74.0,
18,Brasil,,,76,,,,2020-03-14,11,210147125.0,121.0,23,0,0,22.0,99.0,
19,Brasil,,,76,,,,2020-03-15,12,210147125.0,200.0,79,0,0,62.0,138.0,
20,Brasil,,,76,,,,2020-03-16,12,210147125.0,234.0,34,0,0,48.0,186.0,
21,Brasil,,,76,,,,2020-03-17,12,210147125.0,291.0,57,1,1,50.0,240.0,
22,Brasil,,,76,,,,2020-03-18,12,210147125.0,428.0,137,4,3,110.0,314.0,
23,Brasil,,,76,,,,2020-03-19,12,210147125.0,621.0,193,6,2,175.0,440.0,
24,Brasil,,,76,,,,2020-03-20,12,210147125.0,904.0,283,11,5,250.0,643.0,
25,Brasil,,,76,,,,2020-03-21,12,210147125.0,1128.0,224,18,7,238.0,872.0,
26,Brasil,,,76,,,,2020-03-22,13,210147125.0,1546.0,418,25,7,348.0,1173.0,
27,Brasil,,,76,,,,2020-03-23,13,210147125.0,1891.0,345,34,9,365.0,1492.0,
28,Brasil,,,76,,,,2020-03-24,13,210147125.0,2201.0,310,46,12,317.0,1838.0,
29,Brasil,,,76,,,,2020-03-25,13,210147125.0,2433.0,232,57,11,258.0,2118.0,
30,Brasil,,,76,,,,2020-03-26,13,210147125.0,2915.0,482,77,20,402.0,2436.0,
31,Brasil,,,76,,,,2020-03-27,13,210147125.0,3417.0,502,92,15,501.0,2824.0,
32,Brasil,,,76,,,,2020-03-28,13,210147125.0,3903.0,486,114,22,500.0,3289.0,
33,Brasil,,,76,,,,2020-03-29,14,210147125.0,4256.0,353,136,22,412.0,3708.0,
34,Brasil,,,76,,,,2020-03-30,14,210147125.0,4579.0,323,159,23,363.0,4057.0,
35,Brasil,,,76,,,,2020-03-31,14,210147125.0,5717.0,1138,201,42,908.0,4608.0,
36,Brasil,,,76,,,,2020-04-01,14,210147125.0,6834.0,1117,241,40,1183.0,5410.0,
37,Brasil,,,76,,,,2020-04-02,14,210147125.0,7910.0,1076,299,58,1174.0,6437.0,
38,Brasil,,,76,,,,2020-04-03,14,210147125.0,9056.0,1146,359,60,1246.0,7451.0,
39,Brasil,,,76,,,,2020-04-04,14,210147125.0,10278.0,1222,432,73,1369.0,8477.0,
40,Brasil,,,76,,,,2020-04-05,15,210147125.0,11130.0,852,486,54,1232.0,9412.0,
41,Brasil,,,76,,,,2020-04-06,15,210147125.0,12056.0,926,553,67,1284.0,10219.0,
42,Brasil,,,76,,,,2020-04-07,15,210147125.0,13717.0,1661,667,114,1961.0,11089.0,
43,Brasil,,,76,,,,2020-04-08,15,210147125.0,15927.0,2210,800,133,2776.0,12351.0,
44,Brasil,,,76,,,,2020-04-09,15,210147125.0,17857.0,1930,941,141,3060.0,13856.0,
45,Brasil,,,76,,,,2020-04-10,15,210147125.0,19638.0,1781,1056,115,3200.0,15382.0,
46,Brasil,,,76,,,,2020-04-11,15,210147125.0,20727.0,1089,1124,68,3080.0,16523.0,
47,Brasil,,,76,,,,2020-04-12,16,210147125.0,22169.0,1442,1223,99,3365.0,17581.0,
48,Brasil,,,76,,,,2020-04-13,16,210147125.0,23430.0,1261,1328,105,3673.0,18429.0,
49,Brasil,,,76,,,,2020-04-14,16,210147125.0,25262.0,1832,1532,204,4318.0,19412.0,
50,Brasil,,,76,,,,2020-04-15,16,210147125.0,28320.0,3058,1736,204,5761.0,20823.0,
51,Brasil,,,76,,,,2020-04-16,16,210147125.0,30425.0,2105,1924,188,5975.0,22526.0,
52,Brasil,,,76,,,,2020-04-17,16,210147125.0,33682.0,3257,2141,217,6779.0,24762.0,
53,Brasil,,,76,,,,2020-04-18,16,210147125.0,36599.0,2917,2347,206,7505.0,26747.0,
54,Brasil,,,76,,,,2020-04-19,17,210147125.0,38654.0,2055,2462,115,22130.0,14062.0,
55,Brasil,,,76,,,,2020-04-20,17,210147125.0,40581.0,1927,2575,113,22991.0,15015.0,
56,Brasil,,,76,,,,2020-04-21,17,210147125.0,43079.0,2498,2741,166,24325.0,16013.0,
57,Brasil,,,76,,,,2020-04-22,17,210147125.0,45757.0,2678,2906,165,25318.0,17533.0,
58,Brasil,,,76,,,,2020-04-23,17,210147125.0,49492.0,3735,3313,407,26573.0,19606.0,
59,Brasil,,,76,,,,2020-04-24,17,210147125.0,52995.0,3503,3670,357,27655.0,21670.0,
60,Brasil,,,76,,,,2020-04-25,17,210147125.0,58509.0,5514,4016,346,29160.0,25333.0,
61,Brasil,,,76,,,,2020-04-26,18,210147125.0,61888.0,3379,4205,189,30152.0,27531.0,
62,Brasil,,,76,,,,2020-04-27,18,210147125.0,66501.0,4613,4543,338,31142.0,30816.0,
63,Brasil,,,76,,,,2020-04-28,18,210147125.0,71886.0,5385,5017,474,32544.0,34325.0,
64,Brasil,,,76,,,,2020-04-29,18,210147125.0,78162.0,6276,5466,449,34132.0,38564.0,
65,Brasil,,,76,,,,2020-04-30,18,210147125.0,85380.0,7218,5901,435,35935.0,43544.0,
66,Brasil,,,76,,,,2020-05-01,18,210147125.0,91299.0,5919,6329,428,38039.0,47221.0,
67,Brasil,,,76,,,,2020-05-02,18,210147125.0,96396.0,5097,6724,395,40937.0,48872.0,
68,Brasil,,,76,,,,2020-05-03,19,210147125.0,101147.0,4751,7025,301,42991.0,51131.0,
69,Brasil,,,76,,,,2020-05-04,19,210147125.0,107780.0,6633,7321,296,45186.0,55273.0,
70,Brasil,,,76,,,,2020-05-05,19,210147125.0,114715.0,6935,7921,600,48221.0,58573.0,
71,Brasil,,,76,,,,2020-05-06,19,210147125.0,125218.0,10503,8535,614,51370.0,65312.0,
72,Brasil,,,76,,,,2020-05-07,19,210147125.0,135106.0,9888,9146,611,55350.0,70610.0,
73,Brasil,,,76,,,,2020-05-08,19,210147125.0,145328.0,10222,9895,749,59297.0,76134.0,
74,Brasil,,,76,,,,2020-05-09,19,210147125.0,155939.0,10611,10627,732,61685.0,83627.0,
75,Brasil,,,76,,,,2020-05-10,20,210147125.0,162699.0,6760,11123,496,64957.0,86619.0,
76,Brasil,,,76,,,,2020-05-11,20,210147125.0,168331.0,5632,11519,396,67384.0,89429.0,
77,Brasil,,,76,,,,2020-05-12,20,210147125.0,177589.0,9258,12400,881,72597.0,92593.0,
78,Brasil,,,76,,,,2020-05-13,20,210147125.0,188974.0,11385,13149,749,78424.0,97402.0,
79,Brasil,,,76,,,,2020-05-14,20,210147125.0,202918.0,13944,13993,844,79479.0,109446.0,
80,Brasil,,,76,,,,2020-05-15,20,210147125.0,218223.0,15305,14817,824,84970.0,118436.0,
81,Brasil,,,76,,,,2020-05-16,20,210147125.0,233142.0,14919,15633,816,89672.0,127837.0,
82,Brasil,,,76,,,,2020-05-17,21,210147125.0,241080.0,7938,16118,485,94122.0,130840.0,
83,Brasil,,,76,,,,2020-05-18,21,210147125.0,254220.0,13140,16792,674,100459.0,136969.0,
84,Brasil,,,76,,,,2020-05-19,21,210147125.0,271628.0,17408,17971,1179,106794.0,146863.0,
85,Brasil,,,76,,,,2020-05-20,21,210147125.0,291579.0,19951,18859,888,116683.0,156037.0,
86,Brasil,,,76,,,,2020-05-21,21,210147125.0,310087.0,18508,20047,1188,125960.0,164080.0,
87,Brasil,,,76,,,,2020-05-22,21,210147125.0,330890.0,20803,21046,999,135430.0,174412.0,
88,Brasil,,,76,,,,2020-05-23,21,210147125.0,347398.0,16508,22013,967,142587.0,182798.0,
89,Brasil,,,76,,,,2020-05-24,22,210147125.0,363211.0,15813,22666,653,149911.0,190634.0,
90,Brasil,,,76,,,,2020-05-25,22,210147125.0,374898.0,11687,23473,807,153833.0,197592.0,
91,Brasil,,,76,,,,2020-05-26,22,210147125.0,391222.0,16324,24512,1039,158593.0,208117.0,
92,Brasil,,,76,,,,2020-05-27,22,210147125.0,411821.0,20599,25598,1086,166647.0,219576.0,
93,Brasil,,,76,,,,2020-05-28,22,210147125.0,438238.0,26417,26754,1156,177604.0,233880.0,
94,Brasil,,,76,,,,2020-05-29,22,210147125.0,465166.0,26928,27878,1124,189476.0,247812.0,
